,sub_link,sub_title,author
0,https://www.douban.com/group/topic/196786846/,【围城思考】拿永居/换护照后回国发展是否合适？ ,https://www.douban.com/people/Wangmew/
1,https://www.douban.com/group/topic/196627491/,求推荐产品经理自学方面书籍（欢迎分享PM工作经验）,https://www.douban.com/people/Losecontrol/
2,https://www.douban.com/group/topic/196932975/,国内文科生求指点数字/模拟电路的学习方法,https://www.douban.com/people/146838475/
3,https://www.douban.com/group/topic/196953181/,超级迷茫！关于工作几年之后留学 求建议/指点,https://www.douban.com/people/25610999/
4,https://www.douban.com/group/topic/196754016/,有没有在荷兰或者法国数据科学/传播学已经就业的组员 想咨询就业情况,https://www.douban.com/people/181884302/
5,https://www.douban.com/group/topic/196660205/,闲聊 | 想知道大家的动力源泉！,https://www.douban.com/people/223225938/
6,https://www.douban.com/group/topic/196954015/,大家对tech consulting怎么看 是夕阳行业吗？,https://www.douban.com/people/97836408/
7,https://www.douban.com/group/topic/194038421/,AMA 顺找伦敦同好 Computer Vision Engineer @伦敦,https://www.douban.com/people/167062926/
8,https://www.douban.com/group/topic/194254053/,闲聊丨有没有做运营的女孩子,https://www.douban.com/people/190695573/
9,https://www.douban.com/group/topic/196923561/,有姐妹是做后端开发的吗？求分享一下学习经验,https://www.douban.com/people/144142505/
10,https://www.douban.com/group/topic/196939889/,闲聊 | 疫情下没有社交圈如何战胜孤独感,https://www.douban.com/people/186559720/
11,https://www.douban.com/group/topic/196575317/,有从美帝跳槽到欧洲的吗,https://www.douban.com/people/bessiewessie/
12,https://www.douban.com/group/topic/196834481/,美国“血汗工厂”红旗车间一年的困惑和未来发展,https://www.douban.com/people/210972393/
13,https://www.douban.com/group/topic/196957467/,求分享跳槽去湾区的体验,https://www.douban.com/people/34525231/
14,https://www.douban.com/group/topic/196944241/,AMA-雨林 - 欧洲 - 纯商科转BA,https://www.douban.com/people/smilefish0119/
15,https://www.douban.com/group/topic/196461834/,怎么克服Imposter Syndrome（冒名综合症）？,https://www.douban.com/people/165737859/
16,https://www.douban.com/group/topic/196383675/,想跑，家人强烈建议回国该如何应对,https://www.douban.com/people/205851404/
17,https://www.douban.com/group/topic/196889759/,不喜欢做程序员怎么办？以及想咨询一下转行建议！,https://www.douban.com/people/130277074/
18,https://www.douban.com/group/topic/196182235/,闲聊 | 有什么值得推荐的国内外科技新闻媒体,https://www.douban.com/people/traumtaenzer/
19,https://www.douban.com/group/topic/196611258/,电气工程及其自动化大一 有个问题,https://www.douban.com/people/224605936/
20,https://www.douban.com/group/topic/196929736/,大三会计在读学生的转码迷思，关于研究生选择求姐妹建议,https://www.douban.com/people/131262151/
21,https://www.douban.com/group/topic/196730540/,求一些关于HCI留学和跑路的建议,https://www.douban.com/people/155619927/
22,https://www.douban.com/group/topic/196745716/,刚刚收到高盛的HireVue，想请教前辈们一些经验,https://www.douban.com/people/178573058/
23,https://www.douban.com/group/topic/196853118/,求问中文系背景转产品orNLP有多难？,https://www.douban.com/people/150108333/
24,https://www.douban.com/group/topic/196870119/,有从美国去新加坡或在坡县找硬件工作的姐妹吗,https://www.douban.com/people/146690782/
