,sub_link,sub_title,author
0,https://www.douban.com/group/topic/200748981/,转码热潮下，特别是会在国内就业的姐妹，注意不要盲目跟风转码,https://www.douban.com/people/89197335/
1,https://www.douban.com/group/topic/201030415/,video interview怎么破,https://www.douban.com/people/103993881/
2,https://www.douban.com/group/topic/197323855/,面试官也是个社畜啊,https://www.douban.com/people/yun5s/
3,https://www.douban.com/group/topic/201028214/,有无自学UX design 的同学想互相监督 想建一个打卡/学习群,https://www.douban.com/people/182319776/
4,https://www.douban.com/group/topic/200961486/,寻找学前端的姐妹一起逐梦互联网,https://www.douban.com/people/199154347/
5,https://www.douban.com/group/topic/200851945/,大家在ice breaker自我介绍的时候 都有什么fun fact啊？,https://www.douban.com/people/196043001/
6,https://www.douban.com/group/topic/200277688/,北美转码 是在各种小公司中轮转攒经验硬转还是再拿个学位,https://www.douban.com/people/65841381/
7,https://www.douban.com/group/topic/200801553/,机械工程师的发展,https://www.douban.com/people/226037049/
8,https://www.douban.com/group/topic/200948269/,有没有参加vGHC career extension的小伙伴,https://www.douban.com/people/87084701/
9,https://www.douban.com/group/topic/200553428/,求建议 转行前端，简历项目问题,https://www.douban.com/people/61096683/
10,https://www.douban.com/group/topic/200300007/,书呆系列2 | 11/10更新啦~~留美十年之转码历程（长文持续更新中……）,https://www.douban.com/people/164561784/
11,https://www.douban.com/group/topic/200958554/,可以麻烦大家帮应届生选个offer嘛,https://www.douban.com/people/128324668/
12,https://www.douban.com/group/topic/200414875/,大家在学习工作中受到过性别歧视嘛？,https://www.douban.com/people/153459770/
13,https://www.douban.com/group/topic/200948525/,工作太忙怎样有效健身保持精力,https://www.douban.com/people/59805190/
14,https://www.douban.com/group/topic/201007393/,关于国内入门前端的一点建议,https://www.douban.com/people/uhavejoy/
15,https://www.douban.com/group/topic/198309796/,组里各位有没有h1b过来人？明年最后一次h1b抽签，STEM OPT明年过期，不想回国的问问出路在何方,https://www.douban.com/people/187248432/
16,https://www.douban.com/group/topic/198789695/,关于DS长期职业规划 （senior/ principal scientist 还是 manager）,https://www.douban.com/people/4221061/
17,https://www.douban.com/group/topic/200932921/,社交时如何应对别人的自嘲？,https://www.douban.com/people/213479772/
18,https://www.douban.com/group/topic/194176433/,AMA | Product Designer (new grad) @北美互联网公司 经验分享,https://www.douban.com/people/120607634/
19,https://www.douban.com/group/topic/200989583/,如何在peer pressure 中调整心态,https://www.douban.com/people/159835218/
20,https://www.douban.com/group/topic/200876640/,请问一下data analyst的细分岗位,https://www.douban.com/people/167086338/
21,https://www.douban.com/group/topic/200395038/,真诚求问 宅家使人崩溃,https://www.douban.com/people/183511390/
22,https://www.douban.com/group/topic/200516739/,女性要抓住机会在职场奋斗才能为妹妹们女儿们争得应有的权利和良好的工作环境,https://www.douban.com/people/167113249/
23,https://www.douban.com/group/topic/199001506/,美国工作有中年危机吗,https://www.douban.com/people/206595544/
24,https://www.douban.com/group/topic/200265235/,分享一下文科生成功转码上岸经验以及自己对面试刷题实习等的心得（11/13更新）,https://www.douban.com/people/75379948/
25,https://www.douban.com/group/topic/199334040/,年底ng想问五个月能找着工作吗,https://www.douban.com/people/141783286/
26,https://www.douban.com/group/topic/200981124/,想问一下大家，如果留英转码需要申二硕吗？,https://www.douban.com/people/166238713/
27,https://www.douban.com/group/topic/200763467/,北美量化金融,https://www.douban.com/people/152916766/
28,https://www.douban.com/group/topic/200553008/,大家来分享一下加入小组对你有什么影响呀～,https://www.douban.com/people/211283886/
29,https://www.douban.com/group/topic/200777209/,应届产品offer求比较,https://www.douban.com/people/186671642/
30,https://www.douban.com/group/topic/200944660/,求DA/BA职业发展建议,https://www.douban.com/people/126114122/
31,https://www.douban.com/group/topic/198471155/,随便聊聊编程语言,https://www.douban.com/people/babytalking/
32,https://www.douban.com/group/topic/200067809/,近期回国还是目前继续留美，请教大家建议（已决定）,https://www.douban.com/people/58335145/
33,https://www.douban.com/group/topic/200542928/,想请教组内的各位在职姐妹关于时间管理的问题，如何利用下班后的时间学习,https://www.douban.com/people/126219077/
34,https://www.douban.com/group/topic/198556870/,东京在驻 欢迎交流👏,https://www.douban.com/people/79136415/
